location_id,station_name,city,country_code,latitude,longitude,pollutant_type,pollutant_value,unit,recorded_at,source
4296966,Buraq integrated solutions,Buraq integrated solutions,PK,33.643208,73.068119,pm1,22.38495858510335,µg/m³,2025-05-17T08:00:00Z,openaq_v3
4296966,Buraq integrated solutions,Buraq integrated solutions,PK,33.643208,73.068119,pm25,33.76099952061971,µg/m³,2025-05-17T08:00:00Z,openaq_v3
4296966,Buraq integrated solutions,Buraq integrated solutions,PK,33.643208,73.068119,relativehumidity,33.26587470372518,%,2025-05-17T08:00:00Z,openaq_v3
4296966,Buraq integrated solutions,Buraq integrated solutions,PK,33.643208,73.068119,temperature,27.610374927520752,c,2025-05-17T08:00:00Z,openaq_v3
4296966,Buraq integrated solutions,Buraq integrated solutions,PK,33.643208,73.068119,um003,1223.0846354166667,particles/cm³,2025-05-17T08:00:00Z,openaq_v3
4515157,"Barki, Lahore","Barki, Lahore",PK,31.4591591,74.5396309,pm1,27.9,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4515157,"Barki, Lahore","Barki, Lahore",PK,31.4591591,74.5396309,pm25,45.7,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4515157,"Barki, Lahore","Barki, Lahore",PK,31.4591591,74.5396309,relativehumidity,65.0,%,2026-07-11T20:00:00Z,openaq_v3
4515157,"Barki, Lahore","Barki, Lahore",PK,31.4591591,74.5396309,temperature,30.9,c,2026-07-11T20:00:00Z,openaq_v3
4515157,"Barki, Lahore","Barki, Lahore",PK,31.4591591,74.5396309,um003,1819.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4515644,"F-7, Islamabad","F-7, Islamabad",PK,33.7213352,73.0560998,pm1,27.0,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4515644,"F-7, Islamabad","F-7, Islamabad",PK,33.7213352,73.0560998,pm25,42.4,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4515644,"F-7, Islamabad","F-7, Islamabad",PK,33.7213352,73.0560998,relativehumidity,60.0,%,2026-07-11T20:00:00Z,openaq_v3
4515644,"F-7, Islamabad","F-7, Islamabad",PK,33.7213352,73.0560998,temperature,29.7,c,2026-07-11T20:00:00Z,openaq_v3
4515644,"F-7, Islamabad","F-7, Islamabad",PK,33.7213352,73.0560998,um003,1696.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4527035,Civil Secretariat,Civil Secretariat,PK,31.565942,74.2993626,pm1,27.8,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4527035,Civil Secretariat,Civil Secretariat,PK,31.565942,74.2993626,pm25,43.7,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4527035,Civil Secretariat,Civil Secretariat,PK,31.565942,74.2993626,relativehumidity,63.0,%,2026-07-11T20:00:00Z,openaq_v3
4527035,Civil Secretariat,Civil Secretariat,PK,31.565942,74.2993626,temperature,31.0,c,2026-07-11T20:00:00Z,openaq_v3
4527035,Civil Secretariat,Civil Secretariat,PK,31.565942,74.2993626,um003,1840.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4527173,Learning Alliance Intl. DHA,Learning Alliance Intl. DHA,PK,31.525621,74.436078,pm1,22.3,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4527173,Learning Alliance Intl. DHA,Learning Alliance Intl. DHA,PK,31.525621,74.436078,pm25,37.1,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4527173,Learning Alliance Intl. DHA,Learning Alliance Intl. DHA,PK,31.525621,74.436078,relativehumidity,57.0,%,2026-07-11T20:00:00Z,openaq_v3
4527173,Learning Alliance Intl. DHA,Learning Alliance Intl. DHA,PK,31.525621,74.436078,temperature,33.4,c,2026-07-11T20:00:00Z,openaq_v3
4527173,Learning Alliance Intl. DHA,Learning Alliance Intl. DHA,PK,31.525621,74.436078,um003,1300.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4527306,FOOT & MOUTH DISEASE RESEARCH CENTRE,FOOT & MOUTH DISEASE RESEARCH CENTRE,PK,31.53574,74.43538,pm1,29.7,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4527306,FOOT & MOUTH DISEASE RESEARCH CENTRE,FOOT & MOUTH DISEASE RESEARCH CENTRE,PK,31.53574,74.43538,pm25,48.3,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4527306,FOOT & MOUTH DISEASE RESEARCH CENTRE,FOOT & MOUTH DISEASE RESEARCH CENTRE,PK,31.53574,74.43538,relativehumidity,69.0,%,2026-07-11T20:00:00Z,openaq_v3
4527306,FOOT & MOUTH DISEASE RESEARCH CENTRE,FOOT & MOUTH DISEASE RESEARCH CENTRE,PK,31.53574,74.43538,temperature,30.0,c,2026-07-11T20:00:00Z,openaq_v3
4527306,FOOT & MOUTH DISEASE RESEARCH CENTRE,FOOT & MOUTH DISEASE RESEARCH CENTRE,PK,31.53574,74.43538,um003,1974.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4527402,"HBFC Society, DHA Phase 5 (Hussainy House)","HBFC Society, DHA Phase 5 (Hussainy House)",PK,31.4571645,74.4106586,pm1,23.1,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4527402,"HBFC Society, DHA Phase 5 (Hussainy House)","HBFC Society, DHA Phase 5 (Hussainy House)",PK,31.4571645,74.4106586,pm25,38.2,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4527402,"HBFC Society, DHA Phase 5 (Hussainy House)","HBFC Society, DHA Phase 5 (Hussainy House)",PK,31.4571645,74.4106586,relativehumidity,61.0,%,2026-07-11T20:00:00Z,openaq_v3
4527402,"HBFC Society, DHA Phase 5 (Hussainy House)","HBFC Society, DHA Phase 5 (Hussainy House)",PK,31.4571645,74.4106586,temperature,31.9,c,2026-07-11T20:00:00Z,openaq_v3
4527402,"HBFC Society, DHA Phase 5 (Hussainy House)","HBFC Society, DHA Phase 5 (Hussainy House)",PK,31.4571645,74.4106586,um003,1362.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4535267,Gajju Matta (Kahna),Gajju Matta (Kahna),PK,31.377378,74.350574,pm1,26.1,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4535267,Gajju Matta (Kahna),Gajju Matta (Kahna),PK,31.377378,74.350574,pm25,43.1,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4535267,Gajju Matta (Kahna),Gajju Matta (Kahna),PK,31.377378,74.350574,relativehumidity,62.0,%,2026-07-11T20:00:00Z,openaq_v3
4535267,Gajju Matta (Kahna),Gajju Matta (Kahna),PK,31.377378,74.350574,temperature,32.0,c,2026-07-11T20:00:00Z,openaq_v3
4535267,Gajju Matta (Kahna),Gajju Matta (Kahna),PK,31.377378,74.350574,um003,1654.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4554236,Rawalpindi Women University,Rawalpindi Women University,PK,33.6452478,73.0646181,pm1,25.4,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4554236,Rawalpindi Women University,Rawalpindi Women University,PK,33.6452478,73.0646181,pm25,39.9,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4554236,Rawalpindi Women University,Rawalpindi Women University,PK,33.6452478,73.0646181,relativehumidity,54.0,%,2026-07-11T20:00:00Z,openaq_v3
4554236,Rawalpindi Women University,Rawalpindi Women University,PK,33.6452478,73.0646181,temperature,31.2,c,2026-07-11T20:00:00Z,openaq_v3
4554236,Rawalpindi Women University,Rawalpindi Women University,PK,33.6452478,73.0646181,um003,1562.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4554729,Sandha Road,Sandha Road,PK,31.562302,74.3027031,pm1,23.8,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4554729,Sandha Road,Sandha Road,PK,31.562302,74.3027031,pm25,39.4,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4554729,Sandha Road,Sandha Road,PK,31.562302,74.3027031,relativehumidity,54.0,%,2026-07-11T20:00:00Z,openaq_v3
4554729,Sandha Road,Sandha Road,PK,31.562302,74.3027031,temperature,33.8,c,2026-07-11T20:00:00Z,openaq_v3
4554729,Sandha Road,Sandha Road,PK,31.562302,74.3027031,um003,1479.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4555745,Ravi Road,Ravi Road,PK,31.602875,74.300927,pm1,18.2,µg/m³,2026-07-11T07:00:00Z,openaq_v3
4555745,Ravi Road,Ravi Road,PK,31.602875,74.300927,pm25,29.2,µg/m³,2026-07-11T07:00:00Z,openaq_v3
4555745,Ravi Road,Ravi Road,PK,31.602875,74.300927,relativehumidity,49.0,%,2026-07-11T07:00:00Z,openaq_v3
4555745,Ravi Road,Ravi Road,PK,31.602875,74.300927,temperature,35.0,c,2026-07-11T07:00:00Z,openaq_v3
4555745,Ravi Road,Ravi Road,PK,31.602875,74.300927,um003,964.0,particles/cm³,2026-07-11T07:00:00Z,openaq_v3
4556719,"Wasa 3, OHR Office ","Wasa 3, OHR Office ",PK,33.650973,73.0788731,pm1,22.6,µg/m³,2026-04-08T08:00:00Z,openaq_v3
4556719,"Wasa 3, OHR Office ","Wasa 3, OHR Office ",PK,33.650973,73.0788731,pm25,36.3,µg/m³,2026-04-08T08:00:00Z,openaq_v3
4556719,"Wasa 3, OHR Office ","Wasa 3, OHR Office ",PK,33.650973,73.0788731,relativehumidity,59.0,%,2026-04-08T08:00:00Z,openaq_v3
4556719,"Wasa 3, OHR Office ","Wasa 3, OHR Office ",PK,33.650973,73.0788731,temperature,19.4,c,2026-04-08T08:00:00Z,openaq_v3
4556719,"Wasa 3, OHR Office ","Wasa 3, OHR Office ",PK,33.650973,73.0788731,um003,1482.0,particles/cm³,2026-04-08T08:00:00Z,openaq_v3
4557686,Shalimar Town,Shalimar Town,PK,31.574289,74.447898,pm1,21.9,µg/m³,2026-07-11T18:00:00Z,openaq_v3
4557686,Shalimar Town,Shalimar Town,PK,31.574289,74.447898,pm25,35.3,µg/m³,2026-07-11T18:00:00Z,openaq_v3
4557686,Shalimar Town,Shalimar Town,PK,31.574289,74.447898,relativehumidity,55.0,%,2026-07-11T18:00:00Z,openaq_v3
4557686,Shalimar Town,Shalimar Town,PK,31.574289,74.447898,temperature,33.8,c,2026-07-11T18:00:00Z,openaq_v3
4557686,Shalimar Town,Shalimar Town,PK,31.574289,74.447898,um003,1262.0,particles/cm³,2026-07-11T18:00:00Z,openaq_v3
4565419,Social Welfare Department,Social Welfare Department,PK,33.6278837,73.0924564,pm1,20.1,µg/m³,2026-05-04T08:00:00Z,openaq_v3
4565419,Social Welfare Department,Social Welfare Department,PK,33.6278837,73.0924564,pm25,29.0,µg/m³,2026-05-04T08:00:00Z,openaq_v3
4565419,Social Welfare Department,Social Welfare Department,PK,33.6278837,73.0924564,relativehumidity,35.0,%,2026-05-04T08:00:00Z,openaq_v3
4565419,Social Welfare Department,Social Welfare Department,PK,33.6278837,73.0924564,temperature,30.2,c,2026-05-04T08:00:00Z,openaq_v3
4565419,Social Welfare Department,Social Welfare Department,PK,33.6278837,73.0924564,um003,1130.0,particles/cm³,2026-05-04T08:00:00Z,openaq_v3
4565932,WASA Head Office 1,WASA Head Office 1,PK,33.6022915,73.0560117,pm1,24.2,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4565932,WASA Head Office 1,WASA Head Office 1,PK,33.6022915,73.0560117,pm25,36.5,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4565932,WASA Head Office 1,WASA Head Office 1,PK,33.6022915,73.0560117,relativehumidity,49.0,%,2026-07-11T20:00:00Z,openaq_v3
4565932,WASA Head Office 1,WASA Head Office 1,PK,33.6022915,73.0560117,temperature,32.3,c,2026-07-11T20:00:00Z,openaq_v3
4565932,WASA Head Office 1,WASA Head Office 1,PK,33.6022915,73.0560117,um003,1392.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4565933,"IEEE, Punjab University, LHR","IEEE, Punjab University, LHR",PK,31.495322,74.295056,pm1,21.9,µg/m³,2026-07-11T13:00:00Z,openaq_v3
4565933,"IEEE, Punjab University, LHR","IEEE, Punjab University, LHR",PK,31.495322,74.295056,pm25,33.4,µg/m³,2026-07-11T13:00:00Z,openaq_v3
4565933,"IEEE, Punjab University, LHR","IEEE, Punjab University, LHR",PK,31.495322,74.295056,relativehumidity,46.0,%,2026-07-11T13:00:00Z,openaq_v3
4565933,"IEEE, Punjab University, LHR","IEEE, Punjab University, LHR",PK,31.495322,74.295056,temperature,36.5,c,2026-07-11T13:00:00Z,openaq_v3
4565933,"IEEE, Punjab University, LHR","IEEE, Punjab University, LHR",PK,31.495322,74.295056,um003,1204.0,particles/cm³,2026-07-11T13:00:00Z,openaq_v3
4566426,Punjab Food Authority,Punjab Food Authority,PK,33.6304566,73.0729694,pm1,23.7,µg/m³,2026-06-17T10:00:00Z,openaq_v3
4566426,Punjab Food Authority,Punjab Food Authority,PK,33.6304566,73.0729694,pm25,36.7,µg/m³,2026-06-17T10:00:00Z,openaq_v3
4566426,Punjab Food Authority,Punjab Food Authority,PK,33.6304566,73.0729694,relativehumidity,31.0,%,2026-06-17T10:00:00Z,openaq_v3
4566426,Punjab Food Authority,Punjab Food Authority,PK,33.6304566,73.0729694,temperature,35.7,c,2026-06-17T10:00:00Z,openaq_v3
4566426,Punjab Food Authority,Punjab Food Authority,PK,33.6304566,73.0729694,um003,1366.0,particles/cm³,2026-06-17T10:00:00Z,openaq_v3
4566427,Johar Town,Johar Town,PK,31.460056,74.280672,pm1,94.36036376953125,µg/m³,2026-01-08T05:00:00Z,openaq_v3
4566427,Johar Town,Johar Town,PK,31.460056,74.280672,pm25,182.34890885786578,µg/m³,2026-01-08T05:00:00Z,openaq_v3
4566427,Johar Town,Johar Town,PK,31.460056,74.280672,relativehumidity,47.903818165172225,%,2026-01-08T05:00:00Z,openaq_v3
4566427,Johar Town,Johar Town,PK,31.460056,74.280672,temperature,16.38945472023704,c,2026-01-08T05:00:00Z,openaq_v3
4566427,Johar Town,Johar Town,PK,31.460056,74.280672,um003,7095.696732954544,particles/cm³,2026-01-08T05:00:00Z,openaq_v3
4567363,Public Health Engineering,Public Health Engineering,PK,33.6335684,73.0614477,um003,1376.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4567363,Public Health Engineering,Public Health Engineering,PK,33.6335684,73.0614477,pm1,23.3,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4567363,Public Health Engineering,Public Health Engineering,PK,33.6335684,73.0614477,pm25,38.2,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4567363,Public Health Engineering,Public Health Engineering,PK,33.6335684,73.0614477,relativehumidity,49.0,%,2026-07-11T20:00:00Z,openaq_v3
4567363,Public Health Engineering,Public Health Engineering,PK,33.6335684,73.0614477,temperature,32.6,c,2026-07-11T20:00:00Z,openaq_v3
4567364,"Conservator of Forest, North zone","Conservator of Forest, North zone",PK,33.540583,73.116917,pm1,33.4,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4567364,"Conservator of Forest, North zone","Conservator of Forest, North zone",PK,33.540583,73.116917,pm25,51.2,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4567364,"Conservator of Forest, North zone","Conservator of Forest, North zone",PK,33.540583,73.116917,relativehumidity,54.0,%,2026-07-11T20:00:00Z,openaq_v3
4567364,"Conservator of Forest, North zone","Conservator of Forest, North zone",PK,33.540583,73.116917,temperature,31.4,c,2026-07-11T20:00:00Z,openaq_v3
4567364,"Conservator of Forest, North zone","Conservator of Forest, North zone",PK,33.540583,73.116917,um003,2200.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4567932,PHA Head Office,PHA Head Office,PK,33.6055187,73.0611438,pm1,24.5,µg/m³,2026-04-27T05:00:00Z,openaq_v3
4567932,PHA Head Office,PHA Head Office,PK,33.6055187,73.0611438,pm25,35.7,µg/m³,2026-04-27T05:00:00Z,openaq_v3
4567932,PHA Head Office,PHA Head Office,PK,33.6055187,73.0611438,relativehumidity,28.0,%,2026-04-27T05:00:00Z,openaq_v3
4567932,PHA Head Office,PHA Head Office,PK,33.6055187,73.0611438,temperature,32.7,c,2026-04-27T05:00:00Z,openaq_v3
4567932,PHA Head Office,PHA Head Office,PK,33.6055187,73.0611438,um003,1537.0,particles/cm³,2026-04-27T05:00:00Z,openaq_v3
4568423,Model Town,Model Town,PK,31.491676,74.313288,pm1,27.0,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4568423,Model Town,Model Town,PK,31.491676,74.313288,pm25,42.7,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4568423,Model Town,Model Town,PK,31.491676,74.313288,relativehumidity,57.0,%,2026-07-11T20:00:00Z,openaq_v3
4568423,Model Town,Model Town,PK,31.491676,74.313288,temperature,32.9,c,2026-07-11T20:00:00Z,openaq_v3
4568423,Model Town,Model Town,PK,31.491676,74.313288,um003,1712.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4568424,E11/4 Sector Islamabad,E11/4 Sector Islamabad,PK,33.698979,72.981907,pm1,22.3,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4568424,E11/4 Sector Islamabad,E11/4 Sector Islamabad,PK,33.698979,72.981907,pm25,34.3,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4568424,E11/4 Sector Islamabad,E11/4 Sector Islamabad,PK,33.698979,72.981907,relativehumidity,53.0,%,2026-07-11T20:00:00Z,openaq_v3
4568424,E11/4 Sector Islamabad,E11/4 Sector Islamabad,PK,33.698979,72.981907,temperature,30.7,c,2026-07-11T20:00:00Z,openaq_v3
4568424,E11/4 Sector Islamabad,E11/4 Sector Islamabad,PK,33.698979,72.981907,um003,1413.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4579733,WASA 2 (Sufaid tanki),WASA 2 (Sufaid tanki),PK,33.6386254,73.069351,pm1,20.9,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4579733,WASA 2 (Sufaid tanki),WASA 2 (Sufaid tanki),PK,33.6386254,73.069351,pm25,33.8,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4579733,WASA 2 (Sufaid tanki),WASA 2 (Sufaid tanki),PK,33.6386254,73.069351,relativehumidity,53.0,%,2026-07-11T20:00:00Z,openaq_v3
4579733,WASA 2 (Sufaid tanki),WASA 2 (Sufaid tanki),PK,33.6386254,73.069351,temperature,31.9,c,2026-07-11T20:00:00Z,openaq_v3
4579733,WASA 2 (Sufaid tanki),WASA 2 (Sufaid tanki),PK,33.6386254,73.069351,um003,1141.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4600078,Abasyn University,Abasyn University,PK,34.0321798,71.5864122,pm1,29.4,µg/m³,2026-07-11T18:00:00Z,openaq_v3
4600078,Abasyn University,Abasyn University,PK,34.0321798,71.5864122,pm25,44.4,µg/m³,2026-07-11T18:00:00Z,openaq_v3
4600078,Abasyn University,Abasyn University,PK,34.0321798,71.5864122,relativehumidity,43.0,%,2026-07-11T18:00:00Z,openaq_v3
4600078,Abasyn University,Abasyn University,PK,34.0321798,71.5864122,temperature,32.5,c,2026-07-11T18:00:00Z,openaq_v3
4600078,Abasyn University,Abasyn University,PK,34.0321798,71.5864122,um003,1947.0,particles/cm³,2026-07-11T18:00:00Z,openaq_v3
4605118,Small industrial development board(SIDB),Small industrial development board(SIDB),PK,33.9817904,71.5567563,pm1,2.6,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4605118,Small industrial development board(SIDB),Small industrial development board(SIDB),PK,33.9817904,71.5567563,pm25,5.1,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4605118,Small industrial development board(SIDB),Small industrial development board(SIDB),PK,33.9817904,71.5567563,relativehumidity,43.0,%,2026-07-11T20:00:00Z,openaq_v3
4605118,Small industrial development board(SIDB),Small industrial development board(SIDB),PK,33.9817904,71.5567563,temperature,32.1,c,2026-07-11T20:00:00Z,openaq_v3
4605118,Small industrial development board(SIDB),Small industrial development board(SIDB),PK,33.9817904,71.5567563,um003,430.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4605119,College Road,College Road,PK,31.421799,74.274837,pm1,27.5,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4605119,College Road,College Road,PK,31.421799,74.274837,pm25,44.4,µg/m³,2026-07-11T20:00:00Z,openaq_v3
4605119,College Road,College Road,PK,31.421799,74.274837,um003,1788.0,particles/cm³,2026-07-11T20:00:00Z,openaq_v3
4605119,College Road,College Road,PK,31.421799,74.274837,relativehumidity,59.0,%,2026-07-11T20:00:00Z,openaq_v3
4605119,College Road,College Road,PK,31.421799,74.274837,temperature,32.5,c,2026-07-11T20:00:00Z,openaq_v3
4605120,Hayatabad phase 7,Hayatabad phase 7,PK,33.9687263,71.4147126,pm1,42.0,µg/m³,2026-06-12T02:00:00Z,openaq_v3
4605120,Hayatabad phase 7,Hayatabad phase 7,PK,33.9687263,71.4147126,pm25,54.5,µg/m³,2026-06-12T02:00:00Z,openaq_v3
4605120,Hayatabad phase 7,Hayatabad phase 7,PK,33.9687263,71.4147126,relativehumidity,61.0,%,2026-06-26T14:00:00Z,openaq_v3
4605120,Hayatabad phase 7,Hayatabad phase 7,PK,33.9687263,71.4147126,temperature,24.7,c,2026-06-26T14:00:00Z,openaq_v3
4605120,Hayatabad phase 7,Hayatabad phase 7,PK,33.9687263,71.4147126,um003,737.0,particles/cm³,2026-06-26T14:00:00Z,openaq_v3
4607067,Shaheed Benazir Women University,Shaheed Benazir Women University,PK,34.0559766,71.5646276,pm1,34.6,µg/m³,2026-07-05T23:00:00Z,openaq_v3
